,BRAND,ORDERED_DATE,CITY,AREA_NAME,STORE_ID,L1_CATEGORY,L2_CATEGORY,L3_CATEGORY,PRODUCT_NAME,VARIANT,ITEM_CODE,COMBO,COMBO_ITEM_CODE,COMBO_UNITS_SOLD,BASE_MRP,UNITS_SOLD,GMV
0,jivo,2025-08-08,Delhi,nsp,1384511,edible oils and ghee,olive oil,extra light olive oil,jivo extra light daily cooking olive oil,1 ltr,15687,Yes,597652,1.0,1499.0,2.0,2998.0
1,jivo,2025-08-08,Mumbai,mulund,1278165,edible oils and ghee,edible oils,groundnut oil,jivo cold pressed oil groundnut oil,1 ltr,390730,No,,,560.0,1.0,560.0
2,jivo,2025-08-08,Indore,bhawar kuan,1382165,edible oils and ghee,edible oils,sunflower oil,jivo gold refined oil - blend of rice bran oil & sunflower oil,1 ltr,429981,No,,,225.0,1.0,225.0
3,jivo,2025-08-08,Patiala,patiala city,1401268,edible oils and ghee,edible oils,cold pressed mustard oil,jivo cold pressed mustard oil 5l,5 ltr,904426,No,,,1250.0,1.0,1250.0
4,jivo,2025-08-08,Moradabad,budh bazar,1402272,edible oils and ghee,edible oils,mustard oil,jivo cold press kachi ghani mustard oil,1 ltr,60711,No,,,255.0,2.0,510.0
5,jivo,2025-08-08,Hyderabad,nanakramguda,1385563,edible oils and ghee,olive oil,extra virgin olive oil,jivo extra virgin olive oil,1 ltr,67229,No,,,1799.0,1.0,1799.0
6,jivo,2025-08-08,Dibrugarh,dibrugarh,1401287,edible oils and ghee,edible oils,pomace oil,jivo daily cooking pomace olive oil,1 L,21709,No,,,1049.0,1.0,1049.0
7,jivo,2025-08-08,Delhi,greater kailash 2,1267917,edible oils and ghee,edible oils,groundnut oil,jivo cold pressed oil groundnut oil,1 ltr,390730,No,,,560.0,2.0,1120.0
8,jivo,2025-08-08,Chennai,karapakkam,1383824,edible oils and ghee,edible oils,sunflower oil,jivo gold refined oil - blend of rice bran oil & sunflower oil,1 ltr,429981,No,,,225.0,1.0,225.0
9,jivo,2025-08-08,Vellore,vit-katpadi,1397627,edible oils and ghee,edible oils,pomace oil,jivo daily cooking pomace olive oil,1 L,21709,No,,,1049.0,1.0,1049.0
10,jivo,2025-08-08,Delhi,ashok vihar,1402052,edible oils and ghee,edible oils,pomace oil,jivo pomace daily cooking olive oil,2 ltr,88218,No,,,1449.0,1.0,1449.0
11,jivo,2025-08-08,Bangalore,mahadevpura,1395434,edible oils and ghee,olive oil,extra light olive oil,jivo extra light daily cooking olive oil,1 ltr,15687,Yes,597652,1.0,1499.0,2.0,2998.0
12,jivo,2025-08-08,Delhi,kakrola,1402457,edible oils and ghee,edible oils,pomace oil,jivo pomace daily cooking olive oil,2 ltr,88218,No,,,1449.0,1.0,1449.0
13,jivo,2025-08-08,Bangalore,btm,788740,edible oils and ghee,edible oils,sunflower oil,jivo cold pressed chemical free sunflower oil,1 ltr,83633,No,,,275.0,1.0,275.0
14,jivo,2025-08-08,Bangalore,bellandur sarjapur,1386714,edible oils and ghee,olive oil,extra light olive oil,jivo extra light daily cooking olive oil,1 ltr,15687,No,,,1499.0,1.0,1499.0
15,jivo,2025-08-08,Delhi,uttam nagar,1387705,edible oils and ghee,olive oil,extra light olive oil,jivo extra light daily cooking olive oil,1 ltr,15687,No,,,1499.0,1.0,1499.0
16,jivo,2025-08-08,Bhopal,piplani,1397619,edible oils and ghee,edible oils,rice bran oil,jivo ricebran oil 1l,1 ltr,958164,No,,,285.0,1.0,285.0
17,jivo,2025-08-08,Hyderabad,nizampet & pragathi nagar,1238352,edible oils and ghee,edible oils,groundnut oil,jivo cold pressed oil groundnut oil,1 ltr,390730,No,,,560.0,1.0,560.0
18,jivo,2025-08-08,Rohtak,rohtak city,1403370,edible oils and ghee,edible oils,canola cold pressed oil,jivo canola cold press edible oil,1 ltr,15685,No,,,375.0,1.0,375.0
19,jivo,2025-08-08,Central Goa,goa_sou_margao,1403181,edible oils and ghee,edible oils,sunflower oil,jivo gold refined oil - blend of rice bran oil & sunflower oil,1 ltr,429981,No,,,225.0,2.0,450.0
20,jivo,2025-08-08,Bangalore,marathahalli,1395425,edible oils and ghee,olive oil,pure olive oil,jivo so olive oil 1l,1 ltr,968589,No,,,325.0,1.0,325.0
21,jivo,2025-08-08,Chennai,mogappair,1380670,edible oils and ghee,edible oils,mustard oil,jivo cold press kachi ghani mustard oil,1 ltr,60711,No,,,255.0,1.0,255.0
22,jivo,2025-08-08,Hyderabad,vanasthalipuram,1392530,edible oils and ghee,edible oils,mustard oil,jivo cold press kachi ghani mustard oil,1 ltr,60711,No,,,255.0,1.0,255.0
23,jivo,2025-08-08,Delhi,greater kailash 2,1381357,edible oils and ghee,edible oils,canola cold pressed oil,jivo canola cold press edible oil,1 ltr,15685,No,,,375.0,1.0,375.0
24,jivo,2025-08-08,Bangalore,kudlu gate,1392660,edible oils and ghee,edible oils,groundnut oil,jivo cold pressed oil groundnut oil,5 ltr,401502,No,,,2800.0,1.0,2800.0
25,jivo,2025-08-08,Vijayawada,benz circle and auto nagar,1399348,edible oils and ghee,edible oils,canola cold pressed oil,jivo canola cold press edible oil,1 ltr,15685,No,,,375.0,1.0,375.0
26,jivo,2025-08-08,Nashik,nashik road,1402065,edible oils and ghee,edible oils,groundnut oil,jivo cold pressed oil groundnut oil,5 ltr,401502,No,,,2800.0,1.0,2800.0
27,jivo,2025-08-08,Hyderabad,kondapur,1382391,edible oils and ghee,edible oils,canola cold pressed oil,jivo canola cold press edible oil,1 ltr,15685,No,,,375.0,1.0,375.0
28,jivo,2025-08-08,Delhi,greater kailash 2,1389690,edible oils and ghee,olive oil,extra light olive oil,jivo extra light daily cooking olive oil,1 ltr,15687,No,,,1499.0,2.0,2998.0
29,jivo,2025-08-08,Bhopal,jahangirabad,1399344,edible oils and ghee,edible oils,cold pressed sunflower oil,jivo cold pressed chemical free sunflower oil,5 ltr,685793,No,,,1350.0,1.0,1350.0
30,jivo,2025-08-08,Bangalore,whitefield,1384788,edible oils and ghee,edible oils,pomace oil,jivo daily cooking pomace olive oil,1 L,21709,No,,,1049.0,1.0,1049.0
31,jivo,2025-08-08,Shivamogga,near freedom park,1401657,edible oils and ghee,edible oils,pomace oil,jivo daily cooking pomace olive oil,1 L,21709,No,,,1049.0,1.0,1049.0
32,jivo,2025-08-08,Kolkata,santoshpur,1403460,edible oils and ghee,edible oils,sunflower oil,jivo gold refined oil - blend of rice bran oil & sunflower oil,1 ltr,429981,No,,,225.0,1.0,225.0
33,jivo,2025-08-08,Bangalore,arekere,1239157,edible oils and ghee,edible oils,groundnut oil,jivo cold pressed oil groundnut oil,1 ltr,390730,No,,,560.0,1.0,560.0
34,jivo,2025-08-08,Hyderabad,kondapur,1382391,edible oils and ghee,olive oil,extra light olive oil,jivo extra light daily cooking olive oil,1 ltr,15687,No,,,1499.0,1.0,1499.0
35,jivo,2025-08-08,Kolkata,thakurpukur,1403415,edible oils and ghee,edible oils,pomace oil,jivo daily cooking pomace olive oil,1 L,21709,No,,,1049.0,1.0,1049.0
36,jivo,2025-08-08,Hyderabad,jubilee hills,1381356,edible oils and ghee,edible oils,cold pressed mustard oil,jivo cold pressed mustard oil 5l,5 ltr,904426,No,,,1250.0,1.0,1250.0
37,jivo,2025-08-08,Hyderabad,kondapur,1382391,edible oils and ghee,edible oils,groundnut oil,jivo cold pressed oil groundnut oil,1 ltr,390730,No,,,560.0,1.0,560.0
38,jivo,2025-08-08,Mumbai,chembur,1391897,edible oils and ghee,edible oils,mustard oil,jivo cold press kachi ghani mustard oil,1 ltr,60711,No,,,255.0,1.0,255.0
39,jivo,2025-08-08,Hyderabad,banjara hills,1229994,edible oils and ghee,olive oil,extra light olive oil,jivo extra light daily cooking olive oil,1 ltr,15687,Yes,597652,1.0,1499.0,2.0,2998.0
40,jivo,2025-08-08,Jamshedpur,bistupur,1401659,edible oils and ghee,edible oils,mustard oil,jivo cold press kachi ghani mustard oil,1 ltr,60711,No,,,255.0,1.0,255.0
41,jivo,2025-08-08,Chennai,royapettah,1400604,edible oils and ghee,edible oils,groundnut oil,jivo cold pressed oil groundnut oil,1 ltr,390730,No,,,560.0,1.0,560.0
42,jivo,2025-08-08,Kolkata,garia,1386270,edible oils and ghee,edible oils,canola cold pressed oil,jivo canola cold press edible oil,1 ltr,15685,No,,,375.0,1.0,375.0
43,jivo,2025-08-08,Noida 1,indirapuram,1386450,edible oils and ghee,edible oils,pomace oil,jivo daily cooking pomace olive oil,1 L,21709,No,,,1049.0,1.0,1049.0
44,jivo,2025-08-08,Rohtak,rohtak city,1403371,edible oils and ghee,edible oils,canola cold pressed oil,jivo canola cold press edible oil,1 ltr,15685,No,,,375.0,2.0,750.0
45,jivo,2025-08-08,Mumbai,powai,1135720,edible oils and ghee,edible oils,canola cold pressed oil,jivo canola cold press edible oil,1 ltr,15685,No,,,375.0,1.0,375.0
46,jivo,2025-08-08,Hyderabad,nanakramguda,1387565,edible oils and ghee,edible oils,groundnut oil,jivo cold pressed oil groundnut oil,1 ltr,390730,No,,,560.0,1.0,560.0
47,jivo,2025-08-08,Bangalore,rajarajeshwari nagar,1396285,edible oils and ghee,edible oils,sunflower oil,jivo cold pressed chemical free sunflower oil,1 ltr,83633,No,,,275.0,1.0,275.0
48,jivo,2025-08-08,Bangalore,jp nagar,1399354,edible oils and ghee,edible oils,groundnut oil,jivo cold pressed oil groundnut oil,1 ltr,390730,No,,,560.0,1.0,560.0
49,jivo,2025-08-08,Delhi,nsp,1404596,edible oils and ghee,edible oils,canola cold pressed oil,jivo canola cold press edible oil,1 ltr,15685,No,,,375.0,2.0,750.0
50,jivo,2025-08-08,Bangalore,electronic city,1402440,edible oils and ghee,olive oil,extra light olive oil,jivo extra light olive oil,2 ltr,449236,No,,,2799.0,1.0,2799.0
51,jivo,2025-08-08,Kolkata,rajarhat,1401260,edible oils and ghee,edible oils,canola cold pressed oil,jivo canola cold press edible oil,1 ltr,15685,No,,,375.0,1.0,375.0
52,jivo,2025-08-08,Bangalore,electronic city,1404599,edible oils and ghee,edible oils,sunflower oil,jivo gold refined oil - blend of rice bran oil & sunflower oil,1 ltr,429981,No,,,225.0,1.0,225.0
53,jivo,2025-08-08,Jalandhar,south_jalandhar,1401284,edible oils and ghee,edible oils,sunflower oil,jivo gold refined oil - blend of rice bran oil & sunflower oil,1 ltr,429981,No,,,225.0,1.0,225.0
54,jivo,2025-08-08,Ludhiana,south city,1401264,edible oils and ghee,edible oils,canola cold pressed oil,jivo canola cold press edible oil,1 ltr,15685,No,,,375.0,1.0,375.0
55,jivo,2025-08-08,Delhi,karol bagh,1381835,edible oils and ghee,edible oils,canola cold pressed oil,jivo canola cold press edible oil,1 ltr,15685,No,,,375.0,1.0,375.0
56,jivo,2025-08-08,Berhampur,berhampur,1403747,edible oils and ghee,edible oils,rice bran oil,jivo ricebran oil 1l,1 ltr,958164,No,,,285.0,1.0,285.0
57,jivo,2025-08-08,Bareilly,phoenix mall,1402245,edible oils and ghee,edible oils,pomace oil,jivo daily cooking pomace olive oil,1 L,21709,No,,,1049.0,1.0,1049.0
58,jivo,2025-08-08,Chennai,ramapuram,1386449,edible oils and ghee,edible oils,groundnut oil,jivo cold pressed oil groundnut oil,1 ltr,390730,No,,,560.0,1.0,560.0
59,jivo,2025-08-08,Bangalore,malleshwaram,969380,edible oils and ghee,edible oils,sunflower oil,jivo gold refined oil - blend of rice bran oil & sunflower oil,1 ltr,429981,No,,,225.0,3.0,675.0
60,jivo,2025-08-08,Bangalore,attibele,1393562,edible oils and ghee,edible oils,mustard oil,jivo cold press kachi ghani mustard oil,1 ltr,60711,No,,,255.0,2.0,510.0
61,jivo,2025-08-08,Delhi,greater kailash 2,1267917,edible oils and ghee,edible oils,rice bran oil,jivo ricebran oil 1l,1 ltr,958164,No,,,285.0,2.0,570.0
62,jivo,2025-08-08,Noida 1,indirapuram,1400226,edible oils and ghee,olive oil,extra light olive oil,jivo extra light olive oil,2 ltr,449236,No,,,2799.0,1.0,2799.0
63,jivo,2025-08-08,Mumbai,dombivli,1238357,edible oils and ghee,edible oils,canola cold pressed oil,jivo canola cold press edible oil,1 ltr,15685,No,,,375.0,1.0,375.0
64,jivo,2025-08-08,Bangalore,bellandur sarjapur,1392421,edible oils and ghee,edible oils,mustard oil,jivo cold press kachi ghani mustard oil,1 ltr,60711,No,,,255.0,1.0,255.0
65,jivo,2025-08-08,Bangalore,geddalahalli,1400546,edible oils and ghee,edible oils,canola cold pressed oil,jivo canola cold press edible oil,1 ltr,15685,No,,,375.0,1.0,375.0
66,jivo,2025-08-08,Panipat,captain nagar,1401291,edible oils and ghee,edible oils,canola cold pressed oil,jivo canola cold press edible oil,1 ltr,15685,No,,,375.0,1.0,375.0
67,jivo,2025-08-08,Nellore,magunta layout,1399805,edible oils and ghee,edible oils,sunflower oil,jivo cold pressed chemical free sunflower oil,1 ltr,83633,No,,,275.0,1.0,275.0
68,jivo,2025-08-08,Delhi,rohini,1404620,edible oils and ghee,edible oils,canola cold pressed oil,jivo canola cold press edible oil,1 ltr,15685,No,,,375.0,1.0,375.0
69,jivo,2025-08-08,Faridabad,nit,1390226,edible oils and ghee,edible oils,canola cold pressed oil,jivo canola cold press edible oil,1 ltr,15685,No,,,375.0,1.0,375.0
70,jivo,2025-08-08,Pune,warje,1398754,edible oils and ghee,edible oils,mustard oil,jivo cold press kachi ghani mustard oil,1 ltr,60711,No,,,255.0,1.0,255.0
71,jivo,2025-08-08,Roorkee,iit_roorkee,1401285,edible oils and ghee,edible oils,mustard oil,jivo cold press kachi ghani mustard oil,1 ltr,60711,No,,,255.0,1.0,255.0
72,jivo,2025-08-08,Chennai,thiruvottiyur,1403177,edible oils and ghee,edible oils,canola cold pressed oil,jivo canola cold press edible oil,1 ltr,15685,No,,,375.0,1.0,375.0
73,jivo,2025-08-08,Delhi,malviya nagar,1399700,edible oils and ghee,edible oils,mustard oil,jivo cold press kachi ghani mustard oil,1 ltr,60711,No,,,255.0,3.0,765.0
74,jivo,2025-08-08,Ahmedabad,bopal,1393824,edible oils and ghee,edible oils,groundnut oil,jivo cold pressed oil groundnut oil,1 ltr,390730,No,,,560.0,1.0,560.0
75,jivo,2025-08-08,Hyderabad,manikonda,1386268,edible oils and ghee,olive oil,pure olive oil,jivo so olive oil 1l,1 ltr,968589,No,,,325.0,1.0,325.0
76,jivo,2025-08-08,Hyderabad,jubilee hills,1381356,edible oils and ghee,olive oil,extra virgin olive oil,jivo extra virgin olive oil,1 ltr,67229,No,,,1799.0,1.0,1799.0
77,jivo,2025-08-08,Chennai,mogappair,1386813,edible oils and ghee,olive oil,extra light olive oil,jivo extra light daily cooking olive oil,1 ltr,15687,No,,,1499.0,1.0,1499.0
78,jivo,2025-08-08,Chandigarh,panchkula,1389004,edible oils and ghee,olive oil,extra light olive oil,jivo extra light daily cooking olive oil,1 ltr,15687,No,,,1499.0,1.0,1499.0
79,jivo,2025-08-08,Bangalore,kudlu gate,1398438,edible oils and ghee,edible oils,groundnut oil,jivo cold pressed oil groundnut oil,1 ltr,390730,No,,,560.0,2.0,1120.0
80,jivo,2025-08-08,Mumbai,vasai,1314371,edible oils and ghee,edible oils,canola cold pressed oil,jivo canola cold press edible oil,1 ltr,15685,No,,,375.0,1.0,375.0
81,jivo,2025-08-08,Mumbai,andheri west,1390224,edible oils and ghee,edible oils,groundnut oil,jivo cold pressed oil groundnut oil,1 ltr,390730,No,,,560.0,1.0,560.0
82,jivo,2025-08-08,Hyderabad,lingampally & nalagandla,1381160,edible oils and ghee,olive oil,pure olive oil,jivo so olive oil 1l,1 ltr,968589,No,,,325.0,1.0,325.0
83,jivo,2025-08-08,Mumbai,vashi,1388688,edible oils and ghee,edible oils,sunflower oil,jivo gold refined oil - blend of rice bran oil & sunflower oil,1 ltr,429981,No,,,225.0,1.0,225.0
84,jivo,2025-08-08,Chennai,tambaram,1397026,edible oils and ghee,edible oils,sunflower oil,jivo gold refined oil - blend of rice bran oil & sunflower oil,5 ltr,615911,No,,,1050.0,1.0,1050.0
85,jivo,2025-08-08,Bangalore,whitefield,1385942,edible oils and ghee,olive oil,extra light olive oil,jivo extra light daily cooking olive oil,1 ltr,15687,No,,,1499.0,1.0,1499.0
86,jivo,2025-08-08,Noida 1,greater noida,1388388,edible oils and ghee,edible oils,pomace oil,jivo daily cooking pomace olive oil,1 L,21709,No,,,1049.0,1.0,1049.0
87,jivo,2025-08-08,Bangalore,whitefield,1400960,edible oils and ghee,edible oils,groundnut oil,jivo cold pressed oil groundnut oil,1 ltr,390730,No,,,560.0,1.0,560.0
88,jivo,2025-08-08,Mumbai,kharghar,1380959,edible oils and ghee,edible oils,groundnut oil,jivo cold pressed oil groundnut oil,1 ltr,390730,No,,,560.0,1.0,560.0
89,jivo,2025-08-08,Surat,adajan,1403843,edible oils and ghee,edible oils,cold pressed sunflower oil,jivo cold pressed chemical free sunflower oil,5 ltr,685793,No,,,1350.0,1.0,1350.0
90,jivo,2025-08-08,Mumbai,dahisar,1237261,edible oils and ghee,edible oils,canola cold pressed oil,jivo canola cold press oil indian medical association recommended,5 ltr,15686,No,,,1650.0,1.0,1650.0
91,jivo,2025-08-08,Tirupati,korlagunta,1404618,edible oils and ghee,edible oils,sunflower oil,jivo gold refined oil - blend of rice bran oil & sunflower oil,1 ltr,429981,No,,,225.0,1.0,225.0
92,jivo,2025-08-08,Bangalore,jp nagar,1382349,edible oils and ghee,edible oils,sunflower oil,jivo cold pressed chemical free sunflower oil,1 ltr,83633,No,,,275.0,1.0,275.0
93,jivo,2025-08-08,Kolkata,rajarhat,1402452,edible oils and ghee,edible oils,sunflower oil,jivo gold refined oil - blend of rice bran oil & sunflower oil,1 ltr,429981,No,,,225.0,2.0,450.0
94,jivo,2025-08-08,Hyderabad,nizampet & pragathi nagar,1401472,edible oils and ghee,edible oils,groundnut oil,jivo cold pressed oil groundnut oil,1 ltr,390730,No,,,560.0,2.0,1120.0
95,jivo,2025-08-08,Kolkata,ruby area,1403466,edible oils and ghee,edible oils,groundnut oil,jivo cold pressed oil groundnut oil,5 ltr,401502,No,,,2800.0,1.0,2800.0
96,jivo,2025-08-08,Chennai,saidapet,1401251,edible oils and ghee,edible oils,sunflower oil,jivo gold refined oil - blend of rice bran oil & sunflower oil,1 ltr,429981,No,,,225.0,1.0,225.0
97,jivo,2025-08-08,Dehradun,chukkuwala,1388685,edible oils and ghee,edible oils,mustard oil,jivo cold press kachi ghani mustard oil,1 ltr,60711,No,,,255.0,1.0,255.0
98,jivo,2025-08-08,Delhi,janakpuri,1400548,edible oils and ghee,olive oil,extra virgin olive oil,jivo extra virgin olive oil,1 ltr,67229,No,,,1799.0,1.0,1799.0
99,jivo,2025-08-08,Mumbai,kasarwadawali,1381561,edible oils and ghee,edible oils,pomace oil,jivo daily cooking pomace olive oil,1 L,21709,No,,,1049.0,1.0,1049.0
100,jivo,2025-08-08,Bangalore,bellandur sarjapur,1385836,edible oils and ghee,edible oils,sunflower oil,jivo cold pressed chemical free sunflower oil,1 ltr,83633,No,,,275.0,2.0,550.0
101,jivo,2025-08-08,Bangalore,whitefield,1387561,edible oils and ghee,edible oils,cold pressed mustard oil,jivo cold pressed mustard oil 5l,5 ltr,904426,No,,,1250.0,1.0,1250.0
102,jivo,2025-08-08,Chennai,porur,1230880,edible oils and ghee,edible oils,sunflower oil,jivo cold pressed chemical free sunflower oil,1 ltr,83633,No,,,275.0,1.0,275.0
103,jivo,2025-08-08,Noida 1,golf course,1384147,edible oils and ghee,edible oils,canola cold pressed oil,jivo canola cold press edible oil,1 ltr,15685,No,,,375.0,1.0,375.0
104,jivo,2025-08-08,Pune,baner,1389001,edible oils and ghee,edible oils,rice bran oil,jivo ricebran oil 5l,5 ltr,766072,No,,,1425.0,1.0,1425.0
105,jivo,2025-08-08,Chandigarh,south mohali,1403831,edible oils and ghee,edible oils,canola cold pressed oil,jivo canola cold press edible oil,1 ltr,15685,No,,,375.0,3.0,1125.0
106,jivo,2025-08-08,Mumbai,mulund,1278165,edible oils and ghee,edible oils,sunflower oil,jivo cold pressed chemical free sunflower oil,1 ltr,83633,No,,,275.0,1.0,275.0
107,jivo,2025-08-08,Noida 1,noida expressway,1398130,edible oils and ghee,edible oils,pomace oil,jivo pomace daily cooking olive oil,2 ltr,88218,No,,,1449.0,1.0,1449.0
108,jivo,2025-08-08,Mumbai,andheri west,1403454,edible oils and ghee,edible oils,cold pressed sunflower oil,jivo cold pressed chemical free sunflower oil,5 ltr,685793,No,,,1350.0,1.0,1350.0
109,jivo,2025-08-08,Chennai,west tambaram,1386264,edible oils and ghee,olive oil,pure olive oil,jivo so olive oil 1l,1 ltr,968589,No,,,325.0,1.0,325.0
110,jivo,2025-08-08,Alappuzha,alappuzha city,1401077,edible oils and ghee,olive oil,extra light olive oil,jivo extra light daily cooking olive oil,1 ltr,15687,No,,,1499.0,1.0,1499.0
111,jivo,2025-08-08,Delhi,chattarpur,1394450,edible oils and ghee,olive oil,extra light olive oil,jivo extra light olive oil,2 ltr,449236,No,,,2799.0,1.0,2799.0
112,jivo,2025-08-08,Bangalore,indiranagar,1404614,edible oils and ghee,olive oil,extra light olive oil,jivo extra light daily cooking olive oil,1 ltr,15687,No,,,1499.0,1.0,1499.0
113,jivo,2025-08-08,Gurgaon,palam vihar,1384513,edible oils and ghee,edible oils,mustard oil,jivo cold press kachi ghani mustard oil,1 ltr,60711,No,,,255.0,1.0,255.0
114,jivo,2025-08-08,Hyderabad,hydershakote,1400550,edible oils and ghee,edible oils,sunflower oil,jivo cold pressed chemical free sunflower oil,1 ltr,83633,No,,,275.0,1.0,275.0
115,jivo,2025-08-08,Udaipur,city center,1397089,edible oils and ghee,edible oils,sunflower oil,jivo cold pressed chemical free sunflower oil,1 ltr,83633,No,,,275.0,1.0,275.0
116,jivo,2025-08-08,Vadodara,manjalpur,1400984,edible oils and ghee,edible oils,canola cold pressed oil,jivo canola cold press oil indian medical association recommended,5 ltr,15686,No,,,1650.0,1.0,1650.0
117,jivo,2025-08-08,Delhi,ashok vihar,816651,edible oils and ghee,olive oil,extra light olive oil,jivo extra light daily cooking olive oil,1 ltr,15687,Yes,597652,1.0,1499.0,2.0,2998.0
118,jivo,2025-08-08,Noida 1,noida expressway,1397625,edible oils and ghee,edible oils,mustard oil,jivo cold press kachi ghani mustard oil,1 ltr,60711,No,,,255.0,1.0,255.0
119,jivo,2025-08-08,Gurgaon,imt manesar,1402779,edible oils and ghee,olive oil,pure olive oil,jivo so olive oil 1l,1 ltr,968589,No,,,325.0,1.0,325.0
120,jivo,2025-08-08,Bangalore,jalahalli-peenya,1380898,edible oils and ghee,edible oils,sunflower oil,jivo cold pressed chemical free sunflower oil,1 ltr,83633,No,,,275.0,1.0,275.0
121,jivo,2025-08-08,Bangalore,bellandur sarjapur,1382254,edible oils and ghee,edible oils,pomace oil,jivo daily cooking pomace olive oil,1 L,21709,No,,,1049.0,1.0,1049.0
122,jivo,2025-08-08,Chennai,padur,1402246,edible oils and ghee,olive oil,pure olive oil,jivo so olive oil 1l,1 ltr,968589,No,,,325.0,1.0,325.0
123,jivo,2025-08-08,Kolkata,kestopur,1382353,edible oils and ghee,olive oil,extra light olive oil,jivo extra light daily cooking olive oil,1 ltr,15687,No,,,1499.0,1.0,1499.0
124,jivo,2025-08-08,Noida,crossing republic,1404167,edible oils and ghee,edible oils,rice bran oil,jivo ricebran oil 1l,1 ltr,958164,No,,,285.0,1.0,285.0
125,jivo,2025-08-08,Mumbai,kharghar,1380959,edible oils and ghee,edible oils,sunflower oil,jivo gold refined oil - blend of rice bran oil & sunflower oil,1 ltr,429981,No,,,225.0,1.0,225.0
126,jivo,2025-08-08,Bangalore,hsr,1403139,edible oils and ghee,edible oils,cold pressed mustard oil,jivo cold pressed mustard oil 5l,5 ltr,904426,No,,,1250.0,3.0,3750.0
127,jivo,2025-08-08,Patiala,patiala city,1401270,edible oils and ghee,edible oils,sunflower oil,jivo gold refined oil - blend of rice bran oil & sunflower oil,1 ltr,429981,No,,,225.0,8.0,1800.0
128,jivo,2025-08-08,Chandigarh,panchkula,1385562,edible oils and ghee,edible oils,sunflower oil,jivo gold refined oil - blend of rice bran oil & sunflower oil,1 ltr,429981,No,,,225.0,2.0,450.0
129,jivo,2025-08-08,Delhi,karol bagh,1403207,edible oils and ghee,edible oils,sunflower oil,jivo gold refined oil - blend of rice bran oil & sunflower oil,5 ltr,615911,No,,,1050.0,1.0,1050.0
130,jivo,2025-08-08,Delhi,janakpuri,1400548,edible oils and ghee,edible oils,extra light olive oil,jivo extra light edible olive oil ideal for everyday indian cooking,5 ltr,95788,No,,,6499.0,1.0,6499.0
131,jivo,2025-08-08,Bangalore,central bangalore,816648,edible oils and ghee,edible oils,cold pressed sunflower oil,jivo cold pressed chemical free sunflower oil,5 ltr,685793,No,,,1350.0,2.0,2700.0
132,jivo,2025-08-08,Dehradun,hathibarkala,1381970,edible oils and ghee,edible oils,sunflower oil,jivo cold pressed chemical free sunflower oil,1 ltr,83633,No,,,275.0,1.0,275.0
133,jivo,2025-08-08,Hyderabad,uppal,1396294,edible oils and ghee,olive oil,extra light olive oil,jivo extra light daily cooking olive oil,1 ltr,15687,No,,,1499.0,1.0,1499.0
134,jivo,2025-08-08,Hyderabad,kondapur,1386269,edible oils and ghee,edible oils,groundnut oil,jivo cold pressed oil groundnut oil,1 ltr,390730,No,,,560.0,1.0,560.0
135,jivo,2025-08-08,Vizag,n a d,1345681,edible oils and ghee,edible oils,groundnut oil,jivo cold pressed oil groundnut oil,5 ltr,401502,No,,,2800.0,1.0,2800.0
136,jivo,2025-08-08,Lucknow,aliganj,1400974,edible oils and ghee,edible oils,sunflower oil,jivo gold refined oil - blend of rice bran oil & sunflower oil,5 ltr,615911,No,,,1050.0,2.0,2100.0
137,jivo,2025-08-08,Bangalore,hsr,1386090,edible oils and ghee,edible oils,mustard oil,jivo cold press kachi ghani mustard oil,1 ltr,60711,No,,,255.0,1.0,255.0
138,jivo,2025-08-08,Mumbai,scruz bandra east,1403030,edible oils and ghee,olive oil,extra light olive oil,jivo extra light olive oil,2 ltr,449236,No,,,2799.0,1.0,2799.0
139,jivo,2025-08-08,Hyderabad,banjara hills,1229994,edible oils and ghee,olive oil,pure olive oil,jivo so olive oil 5l,5 ltr,333818,No,,,1625.0,1.0,1625.0
140,jivo,2025-08-08,Ludhiana,chaura bazar,1404447,edible oils and ghee,edible oils,mustard oil,jivo cold press kachi ghani mustard oil,1 ltr,60711,No,,,255.0,4.0,1020.0
141,jivo,2025-08-08,Kolkata,ruby area,1391895,edible oils and ghee,edible oils,sunflower oil,jivo gold refined oil - blend of rice bran oil & sunflower oil,5 ltr,615911,No,,,1050.0,1.0,1050.0
142,jivo,2025-08-08,Chandigarh,panchkula,1389004,edible oils and ghee,edible oils,pomace oil,jivo pomace daily cooking olive oil,2 ltr,88218,No,,,1449.0,1.0,1449.0
143,jivo,2025-08-08,Bhubaneswar,nayapalli,1398746,edible oils and ghee,olive oil,extra light olive oil,jivo extra light daily cooking olive oil,1 ltr,15687,No,,,1499.0,1.0,1499.0
144,jivo,2025-08-08,Mumbai,bhandup,1402806,edible oils and ghee,edible oils,cold pressed mustard oil,jivo cold pressed mustard oil 5l,5 ltr,904426,No,,,1250.0,1.0,1250.0
145,jivo,2025-08-08,Kolkata,rajarhat,1403839,edible oils and ghee,edible oils,sunflower oil,jivo gold refined oil - blend of rice bran oil & sunflower oil,1 ltr,429981,No,,,225.0,2.0,450.0
146,jivo,2025-08-08,Bangalore,hsr,1403421,edible oils and ghee,edible oils,mustard oil,jivo cold press kachi ghani mustard oil,1 ltr,60711,No,,,255.0,1.0,255.0
